#     A          B          C          D          E
   -0.5253    -0.9315    -0.3427    -0.1613    -0.8472
   -0.9740    -0.2558    -0.5622    -0.7635    -0.0914
    0.9216     0.7702    -0.4818     0.2155     0.2967
    0.6217     0.6100    -0.3846    -0.7904     0.9166
    0.1006    -0.3162     0.3841     0.5241    -0.6530
    0.6207    -0.9299     0.4837     0.5755    -0.6024
    0.4278    -0.0014     0.8184     0.9382    -0.1449
   -0.9178     0.2612    -0.7532     0.3901    -0.0075
    0.2134     0.6217     0.0545     0.6980    -0.2172
   -0.9529     0.8989    -0.1969    -0.3079     0.0389
    0.8311     0.0145     0.4215    -0.5451    -0.3415
